Country,Population 2023,Density,World Share
India,1428627663,481,17.76 %
China,1425671352,152,17.72 %
United States,339996563,37,4.23 %
Indonesia,277534122,153,3.45 %
Pakistan,240485658,312,2.99 %
Nigeria,223804632,246,2.78 %
Brazil,216422446,26,2.69 %
Bangladesh,172954319,"1,329",2.15 %
Russia,144444359,9,1.80 %
Mexico,128455567,66,1.60 %
Ethiopia,126527060,127,1.57 %
Japan,123294513,338,1.53 %
Philippines,117337368,394,1.46 %
Egypt,112716598,113,1.40 %
DR Congo,102262808,45,1.27 %
Vietnam,98858950,319,1.23 %
Iran,89172767,55,1.11 %
Turkey,85816199,112,1.07 %
Germany,83294633,239,1.04 %
Thailand,71801279,141,0.89 %
United Kingdom,67736802,280,0.84 %
Tanzania,67438106,76,0.84 %
France,64756584,118,0.80 %
South Africa,60414495,50,0.75 %
Italy,58870762,200,0.73 %
Kenya,55100586,97,0.68 %
Myanmar,54577997,84,0.68 %
Colombia,52085168,47,0.65 %
South Korea,51784059,533,0.64 %
Uganda,48582334,243,0.60 %
Sudan,48109006,27,0.60 %
Spain,47519628,95,0.59 %
Argentina,45773884,17,0.57 %
Algeria,45606480,19,0.57 %
Iraq,45504560,105,0.57 %
Afghanistan,42239854,65,0.53 %
Poland,41026067,134,0.51 %
Canada,38781291,4,0.48 %
Morocco,37840044,85,0.47 %
Saudi Arabia,36947025,17,0.46 %
Ukraine,36744634,63,0.46 %
Angola,36684202,29,0.46 %
Uzbekistan,35163944,83,0.44 %
Yemen,34449825,65,0.43 %
Peru,34352719,27,0.43 %
Malaysia,34308525,104,0.43 %
Ghana,34121985,150,0.42 %
Mozambique,33897354,43,0.42 %
Nepal,30896590,216,0.38 %
Madagascar,30325732,52,0.38 %
Côte d'Ivoire,28873034,91,0.36 %
Venezuela,28838499,33,0.36 %
Cameroon,28647293,61,0.36 %
Niger,27202843,21,0.34 %
Australia,26439111,3,0.33 %
North Korea,26160821,217,0.33 %
Taiwan,23923276,676,0.30 %
Mali,23293698,19,0.29 %
Burkina Faso,23251485,85,0.29 %
Syria,23227014,126,0.29 %
Sri Lanka,21893579,349,0.27 %
Malawi,20931751,222,0.26 %
Zambia,20569737,28,0.26 %
Romania,19892812,86,0.25 %
Chile,19629590,26,0.24 %
Kazakhstan,19606633,7,0.24 %
Chad,18278568,15,0.23 %
Ecuador,18190484,73,0.23 %
Somalia,18143378,29,0.23 %
Guatemala,18092026,169,0.22 %
Senegal,17763163,92,0.22 %
Netherlands,17618299,522,0.22 %
Cambodia,16944826,96,0.21 %
Zimbabwe,16665409,43,0.21 %
Guinea,14190612,58,0.18 %
Rwanda,14094683,571,0.18 %
Benin,13712828,122,0.17 %
Burundi,13238559,516,0.16 %
Tunisia,12458223,80,0.15 %
Bolivia,12388571,11,0.15 %
Haiti,11724763,425,0.15 %
Belgium,11686140,386,0.15 %
Jordan,11337052,128,0.14 %
Dominican Republic,11332972,235,0.14 %
Cuba,11194449,105,0.14 %
South Sudan,11088796,18,0.14 %
Sweden,10612086,26,0.13 %
Honduras,10593798,95,0.13 %
Czech Republic (Czechia),10495295,136,0.13 %
Azerbaijan,10412651,126,0.13 %
Greece,10341277,80,0.13 %
Papua New Guinea,10329931,23,0.13 %
Portugal,10247605,112,0.13 %
Hungary,10156239,112,0.13 %
Tajikistan,10143543,72,0.13 %
United Arab Emirates,9516871,114,0.12 %
Belarus,9498238,47,0.12 %
Israel,9174520,424,0.11 %
Togo,9053799,166,0.11 %
Austria,8958960,109,0.11 %
Switzerland,8796669,223,0.11 %
Sierra Leone,8791092,122,0.11 %
Laos,7633779,33,0.09 %
Hong Kong,7491609,"7,135",0.09 %
Serbia,7149077,82,0.09 %
Nicaragua,7046310,59,0.09 %
Libya,6888388,4,0.09 %
Paraguay,6861524,17,0.09 %
Kyrgyzstan,6735347,35,0.08 %
Bulgaria,6687717,62,0.08 %
Turkmenistan,6516100,14,0.08 %
El Salvador,6364943,307,0.08 %
Congo,6106869,18,0.08 %
Singapore,6014723,"8,592",0.07 %
Denmark,5910913,139,0.07 %
Slovakia,5795199,121,0.07 %
Central African Republic,5742315,9,0.07 %
Finland,5545475,18,0.07 %
Norway,5474360,15,0.07 %
Liberia,5418377,56,0.07 %
State of Palestine,5371230,892,0.07 %
Lebanon,5353930,523,0.07 %
New Zealand,5228100,20,0.06 %
Costa Rica,5212173,102,0.06 %
Ireland,5056935,73,0.06 %
Mauritania,4862989,5,0.06 %
Oman,4644384,15,0.06 %
Panama,4468087,60,0.06 %
Kuwait,4310108,242,0.05 %
Croatia,4008617,72,0.05 %
Eritrea,3748901,37,0.05 %
Georgia,3728282,54,0.05 %
Mongolia,3447157,2,0.04 %
Moldova,3435931,105,0.04 %
Uruguay,3423108,20,0.04 %
Puerto Rico,3260314,368,0.04 %
Bosnia and Herzegovina,3210847,63,0.04 %
Albania,2832439,103,0.04 %
Jamaica,2825544,261,0.04 %
Armenia,2777970,98,0.03 %
Gambia,2773168,274,0.03 %
Lithuania,2718352,43,0.03 %
Qatar,2716391,234,0.03 %
Botswana,2675352,5,0.03 %
Namibia,2604172,3,0.03 %
Gabon,2436566,9,0.03 %
Lesotho,2330318,77,0.03 %
Guinea-Bissau,2150842,76,0.03 %
Slovenia,2119675,105,0.03 %
North Macedonia,2085679,83,0.03 %
Latvia,1830211,29,0.02 %
Equatorial Guinea,1714671,61,0.02 %
Trinidad and Tobago,1534937,299,0.02 %
Bahrain,1485509,"1,955",0.02 %
Timor-Leste,1360596,91,0.02 %
Estonia,1322765,31,0.02 %
Mauritius,1300557,641,0.02 %
Cyprus,1260138,136,0.02 %
Eswatini,1210822,70,0.02 %
Djibouti,1136455,49,0.01 %
Réunion,981796,393,0.01 %
Fiji,936375,51,0.01 %
Comoros,852075,458,0.01 %
Guyana,813834,4,0.01 %
Bhutan,787424,21,0.01 %
Solomon Islands,740424,26,0.01 %
Macao,704149,"23,472",0.01 %
Luxembourg,654768,253,0.01 %
Montenegro,626485,47,0.01 %
Suriname,623236,4,0.01 %
Cabo Verde,598682,149,0.01 %
Western Sahara,587259,2,0.01 %
Micronesia,544321,778,0.01 %
Malta,535064,"1,672",0.01 %
Maldives,521021,"1,737",0.01 %
Brunei ,452524,86,0.01 %
Bahamas,412623,41,0.01 %
Belize,410825,18,0.01 %
Guadeloupe,395839,234,0.00 %
Iceland,375318,4,0.00 %
Martinique,366981,346,0.00 %
Mayotte,335995,896,0.00 %
Vanuatu,334506,27,0.00 %
French Guiana,312155,4,0.00 %
French Polynesia,308872,84,0.00 %
New Caledonia,292991,16,0.00 %
Barbados,281995,656,0.00 %
Sao Tome & Principe,231856,242,0.00 %
Samoa,225681,80,0.00 %
Curaçao,192077,433,0.00 %
Saint Lucia,180251,295,0.00 %
Guam,172952,320,0.00 %
Kiribati,133515,165,0.00 %
Grenada,126183,371,0.00 %
Tonga,107773,150,0.00 %
Seychelles,107660,234,0.00 %
Aruba,106277,590,0.00 %
St. Vincent & Grenadines,103698,266,0.00 %
U.S. Virgin Islands,98750,282,0.00 %
Antigua and Barbuda,94298,214,0.00 %
Isle of Man,84710,149,0.00 %
Andorra,80088,170,0.00 %
Dominica,73040,97,0.00 %
Cayman Islands,69310,289,0.00 %
Bermuda,64069,"1,281",0.00 %
Greenland,56643,0,0.00 %
Faeroe Islands,53270,38,0.00 %
Northern Mariana Islands,49796,108,0.00 %
Saint Kitts & Nevis,47755,184,0.00 %
Turks and Caicos,46062,48,0.00 %
Sint Maarten,44222,"1,301",0.00 %
American Samoa,43914,220,0.00 %
Marshall Islands,41996,233,0.00 %
Liechtenstein,39584,247,0.00 %
Monaco,36297,"24,360",0.00 %
San Marino,33642,561,0.00 %
Gibraltar,32688,"3,269",0.00 %
Saint Martin,32077,605,0.00 %
British Virgin Islands,31538,210,0.00 %
Caribbean Netherlands,27148,83,0.00 %
Palau,18058,39,0.00 %
Cook Islands,17044,71,0.00 %
Anguilla,15899,177,0.00 %
Nauru,12780,639,0.00 %
Wallis & Futuna,11502,82,0.00 %
Tuvalu,11396,380,0.00 %
Saint Barthelemy,10994,524,0.00 %
Saint Pierre & Miquelon,5840,25,0.00 %
Saint Helena,5314,14,0.00 %
Montserrat,4386,44,0.00 %
Falkland Islands,3791,0,0.00 %
Niue,1935,7,0.00 %
Tokelau,1893,189,0.00 %
Holy See,518,"1,295",0.00 %
